ID	Material	CF	a/A	b/A	c/A	alpha	beta	gamma	Vol/A3	nAT!H	
190	KEXKAB_clean_min_charges	H_6_C_8_N_1_O_4_Zn_1	13.859	13.793	21.991	89.959	90.245	90.18	4203.6777	224
191	KEXKEF_clean_min_charges	H_18_C_19_N_2_O_8_Zn_2	13.535	13.529	27.873	90.02	90.329	96.05	5075.451	248
192	KIDDIM_clean_min_charges	H_42_C_48_N_8_O_27_S_6_Cd_6	16.276	16.277	22.149	68.453	68.462	60.013	4602.826	190
193	KINHAS_clean_min_charges	H_22_C_26_N_2_O_4_S_2_Zn_1	12.488	13.572	18.219	106.039	89.968	90.044	2967.6855	140
194	KINKAV_clean_min_charges	H_30_C_40_N_6_O_4_Zn_1	21.875	13.463	15.13	89.944	105.416	89.987	4295.5146	204
195	KIXXOG_clean_min_charges	H_6_C_12_O_4_Ca_1	12.906	14.615	15.125	90.005	90.014	89.976	2852.8953	136
196	KIYMAI_clean_min_charges	H_6_C_12_O_4_Sr_1	13.642	14.788	15.137	90.0	90.001	90.0	3053.7065	136
197	KOMHAW_clean_min_charges	H_12_C_11_N_16_O_7_Zn_4	19.145	19.199	17.42	95.567	105.607	90.234	6134.77	304
198	KUNWEW_clean_min_charges	H_15_C_25_N_3_O_8_Zn_2	22.353	16.76	18.262	62.678	72.41	90.054	5714.8447	304
199	LABJUV_clean_min_charges	H_18_C_26_N_4_Cu_5_I_5	21.565	15.23	15.217	117.713	94.796	107.007	4086.1377	160
200	LACJAC_clean_min_charges	H_28_C_44_N_18_O_16_Zn_7	19.673	24.252	15.389	96.079	98.001	113.54	6559.4004	340
201	LAGCED_clean_min_charges	H_27_C_51_N_6_O_6_Zn_1_Ag_3	15.75	15.748	16.414	89.999	89.999	119.966	3526.9534	134
202	LAGNUE_clean_min_charges	H_6_C_12_O_6_Y_1	19.226	22.029	18.973	101.661	87.803	90.678	7863.9224	304
203	LAGWEX_clean_min_charges	H_4_C_8_O_4_Cd_1	15.026	14.001	14.741	62.372	59.451	57.636	2176.1711	78
204	LASYOU_clean_min_charges	H_3_C_8_O_4_Cu_1	13.59	13.596	13.604	87.248	87.32	87.467	2505.7437	78
205	LAVSUY_clean_min_charges	H_3_C_9_O_6_Y_1	20.752	20.667	14.043	89.845	89.931	89.747	6022.699	256
206	LAWGEW_clean_min_charges	H_12_C_24_O_13_Zn_4	18.416	18.423	18.422	60.238	60.207	60.208	4441.3237	82
207	LAWGIA_clean_min_charges	H_12_C_24_O_13_Zn_4	18.419	18.425	18.425	60.219	60.19	60.192	4441.5195	82
208	LAWGOG_clean_min_charges	H_12_C_24_O_13_Zn_4	18.424	18.433	18.433	60.144	60.154	60.156	4441.6787	82
209	LAWGUM_clean_min_charges	H_12_C_24_O_13_Zn_4	18.425	18.434	18.434	60.137	60.147	60.15	4441.733	82
210	LEDCAA_clean_min_charges	H_5_C_9_N_7_Cd_1	13.201	23.707	16.267	90.023	89.995	90.0	5090.857	272
211	LEGGEK_clean_min_charges	H_4_C_6_N_3_O_2_Zn_1	15.976	19.736	13.545	109.661	105.44	94.817	3805.1226	192
212	LELMIA01_clean_min_charges	H_2_C_6_O_4_S_1_Sr_1	12.09	31.267	14.041	90.032	90.003	90.648	5307.411	192
213	LEMNOH_clean_min_charges	C_16_N_10_Fe_1	21.933	21.947	15.978	89.996	90.0	89.962	7691.225	432
214	LENRUS_clean_min_charges	H_5_C_9_N_2_O_2_S_1_Ag_1	15.16	21.045	13.26	89.986	89.962	90.102	4230.4917	240
215	LIFWEE_clean_min_charges	H_12_C_12_N_6_O_8_Cu_3	14.039	14.068	14.791	90.014	89.981	89.986	2921.2317	116
216	LIFWOO_clean_min_charges	H_28_C_40_N_4_F_6_Si_1_Zn_1	15.23	17.848	17.848	90.0	90.0	89.999	4851.5327	208
217	LIHSEB_clean_min_charges	H_6_C_6_N_9_Cd_2_I_1	16.201	21.517	18.871	90.0	90.009	90.0	6578.3726	288
218	LIKFOB_clean_min_charges	H_1_C_5_O_4_Zn_1	11.89	14.948	16.321	90.042	107.636	90.443	2764.328	160
219	LOFZUB_clean_min_charges	O_4_Al_1_P_1	19.006	18.833	18.822	89.995	90.001	89.998	6737.147	288
220	LOQLEJ_clean_min_charges	H_5_C_8_O_5_In_1	14.609	21.986	21.972	60.764	90.014	89.993	6158.276	168
221	LUVTEC_clean_min_charges	H_24_C_30_N_2_O_10_Zn_3	15.133	17.678	17.678	90.0	90.0	90.0	4729.2393	180
222	MADVUJ_clean_min_charges	H_16_C_16_S_2_Cu_1_I_1	14.799	12.889	20.85	90.0	89.999	89.944	3977.0168	160
223	MADWAQ_clean_min_charges	H_16_C_16_S_2_Cu_1_Br_1	14.364	12.417	20.761	90.0	90.0	90.051	3702.8845	160
224	MAKXAZ_clean_min_charges	H_14_C_20_N_1_O_4_Zn_1	15.084	12.455	25.541	70.801	81.473	72.345	4311.8193	208
225	MATTUX_clean_min_charges	H_10_C_17_N_1_O_4_Zn_1	13.234	13.275	14.003	83.848	78.344	88.408	2395.4124	92
226	MATVAF_clean_min_charges	H_12_C_24_N_2_O_6_Zn_1	13.167	13.258	22.407	89.986	89.981	102.493	3818.931	132
227	MATVEJ_clean_min_charges	H_14_C_26_N_2_O_6_Zn_1	15.371	15.345	22.383	87.394	84.315	81.031	5186.81	140
228	MEJQEZ_clean_min_charges	H_8_C_11_N_6_O_2_Zn_1	18.067	20.611	18.888	89.978	89.993	90.027	7033.492	320
229	MIBQAR_clean_min_charges	H_12_C_24_O_13_Zn_4	18.425	18.43	18.431	60.151	60.163	60.161	4441.4155	82
230	MIBQAR16_clean_min_charges	H_12_C_24_O_13_Zn_4	18.434	18.423	18.421	60.161	60.179	60.182	4441.055	82
231	MIBQAR18_clean_min_charges	H_12_C_24_O_13_Zn_4	18.405	18.418	18.418	60.252	60.269	60.269	4441.0596	82
232	MIDRAT_clean_min_charges	H_160_C_160_N_16_O_32_S_16_Zn_7	23.02	14.98	14.982	90.008	89.98	90.016	5166.3867	231
233	MIHHOA_clean_min_charges	H_42_C_38_N_4_O_8_Cd_1	13.971	15.661	19.606	89.992	90.005	90.014	4289.7896	204
234	MIKJAR_clean_min_charges	H_13_C_4_N_3_O_8_P_2_Ga_2	13.585	14.447	14.451	69.286	71.796	108.206	2216.2925	114
235	MIMVEJ_clean_min_charges	H_8_C_12_N_2_O_4_Zn_1	14.233	15.7	15.696	87.161	76.976	76.979	3329.3064	152
236	MOCKEV_clean_min_charges	H_3_C_8_N_1_O_4_Cu_1	15.554	14.514	15.025	80.01	74.318	77.467	3163.9504	84
237	MODNIC_clean_min_charges	C_7_N_7_Cd_3	13.444	13.791	27.651	90.014	89.914	89.064	5125.977	136
238	MOGVAG_clean_min_charges	H_13_C_9_N_16_O_7_S_1_Zn_4	14.864	13.096	13.1	92.409	95.218	84.857	2527.765	148
239	MOYYEF_clean_min_charges	H_8_C_14_O_4_Cu_1	12.889	14.509	14.526	78.448	63.448	63.512	2174.8708	76
240	MOYYIJ_clean_min_charges	H_8_C_14_O_4_Cu_1	14.297	18.902	18.901	66.133	75.395	104.605	4142.3047	114
241	MUVGOA_clean_min_charges	H_16_C_34_N_10_Zn_1	12.549	22.954	14.84	90.0	90.0	89.999	4274.658	180
242	NADZEZ_clean_min_charges	H_3_C_9_O_6_Y_1	12.563	12.562	17.411	111.771	111.799	88.345	2350.33	128
243	NAKLIW_clean_min_charges	H_7_C_12_O_7_Zn_2	14.528	18.955	15.81	90.014	90.077	90.794	4353.3076	168
244	NALWOO_clean_min_charges	H_16_C_27_O_6_Ba_1	14.51	19.408	26.343	90.0	90.001	90.002	7418.455	272
245	NARTUX_clean_min_charges	H_8_C_10_N_2_O_6_Ca_1	16.167	16.492	16.49	98.472	93.835	93.827	4325.862	228
246	NASCIV_clean_min_charges	H_20_C_27_N_48_O_8_Cd_8	19.779	14.048	14.05	82.883	69.373	69.389	3419.7454	182
247	NEHZIK_clean_min_charges	H_10_C_12_N_4_O_4_Zn_1	17.267	17.302	17.294	97.826	115.501	115.506	3867.047	168
248	NEVJEF_clean_min_charges	H_11_C_17_N_2_O_8_Cd_2	14.132	18.093	19.553	98.827	90.064	90.027	4940.2944	232
249	NIRDOI_clean_min_charges	H_60_C_88_N_4_O_24_Zn_5	16.152	16.386	17.297	89.875	103.749	90.013	4446.754	242
250	NISCOJ_clean_min_charges	H_20_C_22_N_6_O_4_Zn_1	15.316	19.21	19.485	89.964	90.0	90.069	5732.878	264
251	NOCKUM_clean_min_charges	H_4_C_8_O_4_Ca_1	27.92	14.179	14.88	65.279	62.007	60.493	4390.7197	156
252	NUTQAV_clean_min_charges	H_3_C_9_O_4_Cu_1	15.494	15.52	15.511	74.375	74.601	74.551	3385.9634	84
253	NUTQEZ_clean_min_charges	H_17_C_52_O_24_Cu_6	15.339	15.305	15.334	102.202	102.574	102.334	3304.5222	82
254	NUVWIL_clean_min_charges	H_24_C_24_O_30_Zn_3_La_2	14.253	15.574	15.574	120.05	90.0	90.0	2992.3904	118
255	NUYWOU_clean_min_charges	H_19_C_25_N_5_O_4_Cd_1	13.464	14.949	14.953	89.953	89.982	89.964	3009.6384	140
256	ODIXEG_clean_min_charges	H_16_C_28_O_8_Si_1_Zn_2	13.144	13.013	23.511	90.0	90.0	90.0	4021.3887	78
257	ODODIW_clean_min_charges	H_34_C_56_O_18_Si_2_Zn_5	13.748	14.897	14.679	107.387	112.496	99.975	2505.711	81
258	OFERUN02_clean_min_charges	H_59_C_48_N_24_Zn_6	14.816	14.822	14.809	109.433	109.37	109.348	2511.547	78
259	OFORUX_clean_min_charges	H_22_C_26_N_4_O_2_Cl_2_Cu_1_Cd_1	14.732	14.779	15.757	117.881	97.495	89.92	2999.5806	144
260	OFUYUL_clean_min_charges	H_3_C_8_O_5_Zn_1	13.087	16.838	13.96	105.88	89.81	90.133	2958.793	112
261	OHAKIS_clean_min_charges	H_14_C_20_N_4_O_4_Cd_1	17.215	17.395	18.482	90.039	90.019	90.14	5534.508	232
262	OHOLIH_clean_min_charges	H_48_C_96_O_32_Zn_7	20.781	12.145	12.144	96.958	105.259	74.891	2850.1528	135
263	OJICUG_clean_min_charges	H_12_C_24_O_13_Sc_3	16.401	16.425	16.079	90.014	89.992	119.912	3754.4795	80
264	OSAXAI_clean_min_charges	H_16_C_24_N_4_O_4_Zn_1	22.915	13.727	18.178	100.366	89.956	114.764	5089.558	264
265	OTAVOV_clean_min_charges	H_18_C_24_N_2_O_6_La_1	20.365	17.894001	19.845	90.021	90.013	89.977	7231.7407	264
266	OVICUS_clean_min_charges	H_6_C_12_N_2_O_4_S_2_Zn_1	22.684	12.99	12.986	117.495	94.955	85.039	3376.9302	168
267	PAKXIK_clean_min_charges	H_24_C_36_N_2_O_14_Cd_3	13.563	13.894	16.09	87.884	82.868	91.853	3004.473	110
268	PAMVEG_clean_min_charges	H_22_C_16_N_4_O_4_Zn_1	13.217	14.829	21.942	89.925	90.037	90.032	4300.5146	200
269	PAPXUB_clean_min_charges	H_22_C_28_N_6_O_2_S_2_Cd_1	21.9	13.18	13.821	118.218	108.168	89.868	3289.4028	156
270	PASKAX_clean_min_charges	H_20_C_26_N_4_O_6_Cd_1	19.009	13.056	12.882	111.49	105.097	98.844	2759.472	148
271	PASTOU_clean_min_charges	H_8_C_10_N_5_Cl_1_Cd_1	13.841	13.841	13.841	108.007	108.003	108.002	2144.8977	102
272	PEGBUA_clean_min_charges	H_8_C_7_N_6_Zn_1	21.592	12.585	17.174	89.958	95.414	90.039	4645.9614	224
273	PELNEA01_clean_min_charges	H_12_C_15_O_9_La_1	17.434	12.841	17.875	90.002	89.998	112.94	3685.1973	200
274	PEMRIK_clean_min_charges	H_17_C_28_N_5_O_8_Zn_2	14.42	16.433	18.991	115.842	102.848	89.993	3924.654	172
275	PEPXIS_clean_min_charges	H_6_C_6_N_9_Cl_1_Zn_2	15.37	20.104	17.697	90.0	89.987	89.999	5468.346	288
276	PEVPUD_clean_min_charges	H_6_C_24_O_13_Zn_4	18.795	18.726	18.723999	60.224	60.401	60.366	4694.641	82
277	PEVQEO_clean_min_charges	H_12_C_24_O_13_Zn_4	18.39	18.388	18.393	60.437	60.428	60.436	4441.108	82
278	PIFPIE_clean_min_charges	H_24_C_42_N_2_O_12_Zn_3	14.828	14.816	16.775	102.675	102.684	115.839	3020.3616	118
279	PIHNUQ_clean_min_charges	H_12_C_15_N_1_O_5_Zn_1	21.409	12.775	12.76	106.896	94.45	85.418	3323.1309	176
280	PIJJOI_clean_min_charges	H_18_C_18_N_4_O_4_Zn_1	17.236	16.946	17.853	89.935	90.001	89.182	5213.9917	216
281	PORVUO_clean_min_charges	H_18_C_26_N_2_O_4_Zn_1	12.508	15.845	16.644	104.357	90.128	101.256	3129.721	132
282	PUQXUV_clean_min_charges	H_8_C_17_O_4_F_6_Zn_1	15.405	21.449	21.44	119.836	90.02	89.974	6145.249	336
283	PUQYAC_clean_min_charges	H_8_C_17_O_4_F_6_Zn_1	15.41	21.433	21.434	119.984	89.984	90.008	6131.8203	336
284	PUSDOX_clean_min_charges	H_12_C_20_N_1_O_5_Zn_1	14.334	14.331	26.528	80.129	80.065	86.374	5285.0327	216
285	PUWCUF_clean_min_charges	H_6_C_7_O_4_Zn_1	15.614	17.228	18.405	89.946	90.001	90.006	4950.9062	192
286	QARTEK_clean_min_charges	H_16_C_20_N_3_O_3_F_2_Cl_1_Cd_1	13.396	15.7439995	23.744	89.872	90.124	101.064	4914.6694	240
287	QATHOK_clean_min_charges	H_11_C_17_N_3_O_4_Cd_1	14.614	18.285	18.361	67.482	74.374	105.429	3971.1619	150
288	QAVWAN_clean_min_charges	H_12_C_18_N_1_O_4_Zn_1	13.183	13.173	13.98	105.565	105.292	93.379	2233.8367	96
289	QEFNAQ_clean_min_charges	H_6_C_8_N_4_O_2_Cu_1	16.086	16.097	16.095	90.221	89.991	89.731	4167.503	180
290	QESYOD_clean_min_charges	H_10_C_8_N_2_Cu_1_I_1	16.563	16.569	16.571	105.564	105.413	105.367	3936.6472	144
291	QEVKOS_clean_min_charges	H_14_C_14_N_4_S_4_Cu_2_W_1	22.218	14.321	18.373	74.409	72.493	67.103	5058.7417	200
292	QEYWUN_clean_min_charges	H_20_C_24_N_24_O_8_Cd_1	20.472	12.631	15.386	90.011	90.002	90.012	3978.5396	228
293	QIFLUO_clean_min_charges	H_14_C_18_N_8_O_5_Zn_2	12.333	13.793	17.568	90.008	93.554	89.971	2982.7285	132
294	QOCRUW_clean_min_charges	H_6_C_12_O_6_La_1	19.314	21.4	26.004	57.185	75.071	69.375	8423.425	304
295	QOJVAM_clean_min_charges	H_7_C_10_N_2_Cu_1_I_1	20.435	20.418	16.563	96.586	96.583	86.005	6808.7124	224
296	QOKCID_clean_min_charges	H_7_C_12_O_5_Zn_1	15.278	12.824	12.929	99.358	94.626	85.506	2485.774	144
297	QOMDUS_clean_min_charges	H_80_C_128_O_144_Zn_39	17.801	20.346	19.914	82.633	86.396	88.724	7138.017	311
298	QOMFAA_clean_min_charges	H_11_C_12_N_1_O_5_Zn_1	17.924	17.979	13.775	73.331	71.911	81.632	4034.572	152
299	QUGNOV_clean_min_charges	H_8_C_12_N_2_O_6_Cd_1	14.01	20.56	20.561	89.85	93.673	86.353	5898.2383	336
300	QUJFUX_clean_min_charges	H_6_C_18_N_4_O_8_Cd_3	20.935	20.946	16.318	80.949	81.04	49.407	5352.279	264
301	QUNMUI_clean_min_charges	H_4_C_4_N_6_Cd_1	13.4	13.401	13.401	59.977	59.995	59.995	1701.2018	66
302	QUPHUF_clean_min_charges	H_32_C_41_N_4_O_12_Zn_2	19.46	13.257	20.935	86.324	80.17	68.899	4964.6997	236
303	QUQFIS_clean_min_charges	H_4_C_10_O_4_Zn_1	19.518	19.551	19.542	72.051	71.978	71.943	6553.5728	180
304	QUQPIC_clean_min_charges	H_14_C_24_N_6_Cd_1	11.671	12.279	14.179	90.002	127.997	89.983	1601.2772	62
305	QUQPOI_clean_min_charges	H_45_C_95_N_24_Zn_4	14.826	21.759	12.748	107.622	89.997	90.0	3919.5105	123
306	QURSEC_clean_min_charges	H_16_C_24_N_4_O_8_Zn_1_Pd_1	11.804	11.438	27.327	89.971	90.057	82.266	3655.967	152
307	QUVDUH_clean_min_charges	H_7_C_7_N_1_O_9_P_1_Y_1	23.047	15.562	16.219	89.978	89.974	90.074	5817.059	304
308	RABHAZ_clean_min_charges	H_14_C_9_N_6_Ni_1_Cd_1	15.254	13.761	22.276	89.97	90.024	90.154	4675.943	136
309	RACZIG_clean_min_charges	H_64_C_190_N_15_O_48_F_64_Zn_16	12.91	18.1	26.523	90.001	89.994	90.063	6197.6523	333
310	RATDAS02_clean_min_charges	H_48_C_48_O_96_Zn_23	20.271	23.132	14.801	91.189	89.985	89.992	6938.824	334
311	RAXCOK_clean_min_charges	H_14_C_30_N_4_O_8_S_1_Zn_1	15.604	18.904	19.853	88.505	90.614	90.146	5853.8535	176
312	RAXDAX_clean_min_charges	H_17_C_18_N_5_O_4_Zn_1	18.506	15.905	14.559	89.904	86.855	90.017	4278.805	224
313	RAZYIC_clean_min_charges	H_9_C_10_N_2_Cu_1_I_1	13.215	17.408	17.409	81.734	67.678	67.69	3427.4468	112
314	RAZYOI_clean_min_charges	H_9_C_10_N_2_Cl_1_Cu_1	12.465	15.968	15.972	90.002	89.977	90.007	3179.0845	112
315	REDROI_clean_min_charges	H_16_C_24_O_16_Zn_5	12.819	14.257	20.172	89.872	95.078	90.126	3672.1582	180
316	REGLOG_clean_min_charges	H_6_C_8_O_12_Cd_3	19.311	14.871	15.415	89.996	89.972	89.963	4426.784	184
317	RELLAW_clean_min_charges	H_11_C_18_N_1_O_4_Zn_1	16.158	18.104	18.807	90.0	90.0	92.615	5495.778	192
318	REYCOP_clean_min_charges	H_27_C_28_N_4_O_5_Zn_1	18.655	17.343	20.282	89.999	90.009	98.643	6487.392	304
319	RIFDUG01_clean_min_charges	H_2_C_6_O_4_Zn_1	18.942	18.96	18.965	59.983	60.023	60.017	4817.0073	132
320	RIPNIP_clean_min_charges	C_8_O_4_F_4_Zn_1	25.575	12.77	17.715	89.717	105.363	90.194	5578.7715	272
321	RIVDEF_clean_min_charges	H_12_B_1_C_8_N_3_O_4_Cd_1	23.173	23.132	22.876	89.923	90.038	119.768	10644.281	408
322	RUCGOM_clean_min_charges	H_36_C_20_N_4_O_8_S_4_Zn_1_Pt_2_Au_2	12.416	12.439	27.049	90.02	89.986	119.911	3621.077	123
323	RUFMUA_clean_min_charges	H_4_C_9_O_6_Ca_1	13.64	19.708	20.367	105.268	98.564	115.026	4568.749	256
324	RUFMUA01_clean_min_charges	H_4_C_9_O_6_Ca_1	13.643	19.689	20.364	105.258	98.595	114.978	4566.42	256
325	RUMWUS_clean_min_charges	H_24_C_33_O_12_Zn_2	13.463	13.224	13.238	91.965	98.987	81.006	2299.151	94
326	RURPEA_clean_min_charges	H_32_C_64_N_48_Fe_8_Pt_7	13.5130005	14.373	14.307	89.998	90.001	89.993	2778.7393	127
327	RURQEB_clean_min_charges	H_12_C_28_N_18_O_8_F_8_Zn_5	19.824	20.617	13.36	74.154	79.598	61.879	4624.143	268
328	RUVMAX_clean_min_charges	H_5_C_10_N_3_O_4_Zn_1	12.575	12.867	14.514	91.368	91.336	86.105	2341.7556	108
329	SAHYOQ03_clean_min_charges	H_12_C_24_O_13_Zn_4	18.42	18.428	18.43	60.169	60.182	60.18	4441.356	82
330	SAHYOQ04_clean_min_charges	H_12_C_24_O_13_Zn_4	18.425	18.432	18.433	60.135	60.158	60.157	4441.544	82
331	SAHYOQ05_clean_min_charges	H_12_C_24_O_13_Zn_4	18.426	18.432	18.431	60.143	60.16	60.158	4441.671	82
332	SAKRED_clean_min_charges	H_8_C_11_O_7_Zn_2	20.75	25.128	20.218	90.024	89.988	90.036	10541.784	320
333	SAMLAV02_clean_min_charges	H_7_C_12_N_3_O_6_Cd_1	15.131	14.406	21.129	90.026	90.03	92.656	4600.6914	176
334	SAMLAV03_clean_min_charges	H_7_C_12_N_3_O_6_Cd_1	15.135	14.352	21.106	89.952	90.003	90.053	4584.59	176
335	SEFBOV_clean_min_charges	H_8_C_11_O_7_Zn_2	20.747	26.341	19.994	90.022	90.002	90.307	10926.498	320
336	SEFSOM_clean_min_charges	H_62_C_72_N_16_O_14_S_2_Cd_3	20.652	13.157	17.994	79.403	86.853	78.876	4714.663	214
337	SEHTEF_clean_min_charges	H_3_C_9_O_6_Y_1	20.451	24.817	15.846	89.76	89.797	96.677	7987.6753	256
338	SENWAL_clean_min_charges	H_3_C_9_O_6_Zn_2	14.277	14.864	15.152	90.015	90.487	90.041	3215.3394	68
339	SENWIT_clean_min_charges	H_3_C_9_O_6_Zn_2	13.501	14.422	15.353	89.961	90.056	88.507	2988.3875	68
340	SENWOZ_clean_min_charges	H_3_C_9_O_6_Zn_2	14.239	14.542	15.068	89.691	90.222	90.189	3119.948	68
341	SERJUV_clean_min_charges	H_9_C_21_N_3_O_12_Y_2	16.645	16.816	27.26	90.069	90.16	89.401	7629.685	304
342	SERKEG_clean_min_charges	H_9_C_21_N_3_O_12_Y_2	15.096	16.337	16.337	119.849	90.001	90.001	3494.5876	152
343	SEYDUW_clean_min_charges	H_7_C_5_N_1_O_7_P_1_Y_1	17.838	20.207	15.051	90.021	89.807	89.835	5425.116	240
344	SUHHOT_clean_min_charges	H_6_C_6_O_9_La_1	12.389	15.545	13.351	75.13	84.719	90.019	2473.805	128
345	SUJQOE_clean_min_charges	H_14_C_18_N_2_O_4_Zn_1	13.79	14.367	21.456	90.118	90.021	89.909	4250.8677	200
346	SUJREV_clean_min_charges	H_14_C_18_N_2_O_4_Zn_1	13.544	14.801	21.598999	89.493	89.904	90.087	4329.657	200
347	SUKYIH_clean_min_charges	H_16_C_29_O_8_Cu_1	12.194	12.182	23.169	90.0	90.0	90.001	3441.6929	76
348	TADCAE_clean_min_charges	H_5_C_14_N_2_O_8_Zn_2	15.146	14.637	16.082	90.101	86.072	90.025	3556.87	208
349	TARWEO_clean_min_charges	H_1_C_6_N_9_Cd_1	14.239	12.96	12.96	97.779	96.299	83.691	2344.2976	128
350	TASXIW_clean_min_charges	H_9_C_17_N_2_O_9_Zn_2	14.01	16.787	16.818	103.804	109.775	109.721	3213.975	120
351	TECTUS_clean_min_charges	H_2_C_6_O_4_Ca_1	20.126	20.135	18.143	80.106	70.395	94.922	6740.975	264
352	TEDGOA_clean_min_charges	H_11_C_35_N_48_Zn_4	13.828	15.6380005	15.641	90.018	90.001	89.957	3382.2441	87
353	TENLIJ_clean_min_charges	H_36_C_53_N_8_O_20_Zn_4	17.675	17.661	17.684	90.659	119.543	119.714	3924.5188	170
354	TERFUT_clean_min_charges	H_21_C_36_N_4_O_8_Zn_2_Rh_1	14.013	15.193	15.317	86.583	85.391	88.005	3243.1804	102
355	TESGOO_clean_min_charges	H_12_C_12_O_24_Zn_5	20.236	23.053	14.927	91.151	89.99	89.955	6962.0454	328
356	TESGUU_clean_min_charges	H_12_C_12_O_24_Zn_5	20.172	23.194	14.793	91.115	89.94	89.987	6919.8774	328
357	TESHAB_clean_min_charges	H_2_C_2_O_4_Zn_1	20.211	23.023	14.943	91.186	89.997	89.948	6951.7524	336
358	TETZID_clean_min_charges	H_16_C_24_N_4_O_6_S_1_Cd_1	14.926	19.994	20.525	89.998	94.364	89.993	6107.5254	288
359	TEVZEA_clean_min_charges	H_96_C_96_O_192_Zn_47	20.236	23.191	14.799	91.129	89.993	89.943	6943.717	335
360	TEVZIE_clean_min_charges	H_32_C_32_O_64_Zn_15	20.216	23.15	14.866	91.111	89.98	89.953	6955.9834	333
361	TEVZOK_clean_min_charges	H_24_C_24_O_48_Zn_11	20.207	23.119	14.892	91.046	90.032	90.037	6955.8687	332
362	TEVZUQ_clean_min_charges	H_48_C_48_O_96_Zn_23	20.196	23.101	14.88	91.161	90.0	89.958	6940.8037	334
363	TOHYUL_clean_min_charges	H_8_C_8_N_2_O_6_Cd_1	13.687	17.852	21.787	89.91	89.977	89.998	5323.436	204
364	UBACOR_clean_min_charges	H_7_C_13_N_1_O_4_Zn_1	13.996	14.622	18.585	69.124	67.88	61.406	3020.3237	152
365	UBACUX_clean_min_charges	H_7_C_13_N_2_O_4_Zn_1	14.273	15.94	19.73	110.743	89.833	116.784	3680.8606	160
366	UBUMAH_clean_min_charges	H_14_C_34_O_13_Zn_4	22.672	22.189	29.054	90.096	90.041	89.324	14615.126	408
367	UKUBIM_clean_min_charges	H_26_C_25_N_4_O_4_S_2_Cd_1	12.563	12.561	25.828	90.0	90.0	89.992	4075.7573	144
368	ULOGIL_clean_min_charges	H_2_C_6_O_4_Cd_1	14.039	17.601	19.954	102.064	104.579	83.83	4658.6455	264
369	UMEXUF_clean_min_charges	H_12_C_40_O_36_Zn_9	14.357	15.243	16.405	89.997	90.004	97.449	3559.8335	170
370	UNIGEE_clean_min_charges	H_12_C_24_O_13_Zn_4	18.445	18.422	18.413	60.144	60.178	60.191	4441.233	82
371	UTEWOG_clean_min_charges	H_6_C_10_N_4_Ni_1	18.577	18.583	18.583	90.001	90.0	90.0	6415.1562	180
372	UTEWUM_clean_min_charges	H_6_C_10_N_4_Cu_1	18.923	18.949	18.947	90.0	89.998	89.999	6793.8623	180
373	UTEXAT_clean_min_charges	H_36_C_60_N_24_Zn_5	15.743	15.75	20.005	90.001	90.0	90.008	4960.2847	178
374	UVARIT_clean_min_charges	H_20_C_28_N_2_O_4_Zn_1	17.218	13.093	15.052	64.189	83.379	75.367	2955.5864	140
375	UVAROZ_clean_min_charges	H_20_C_28_N_2_O_4_Zn_1	17.293	13.056	15.041	64.208	83.189	75.681	2962.3914	140
376	UVASAM_clean_min_charges	H_20_C_28_N_2_O_4_Zn_1	17.191	13.141	15.008	63.99	84.054	75.732	2952.993	140
377	UVEXAV_clean_min_charges	H_5_C_5_O_8_Ga_2	15.191	15.284	22.58	107.064	106.784	97.779	4657.5186	240
378	UVUPOR_clean_min_charges	H_12_C_20_N_3_O_4_Zn_1	15.375	15.377	17.986	95.482	96.329	94.366	4190.859	168
379	UWELIS_clean_min_charges	H_8_C_14_N_2_O_5_Zn_1	13.701	13.846	14.057	108.95	90.087	89.967	2522.1396	88
380	UXEQOE_clean_min_charges	H_24_C_80_N_32_O_64_Cd_19	14.53	15.861	16.411	89.999	89.998	89.999	3782.0842	195
381	UXUZAP_clean_min_charges	H_8_C_11_N_6_O_2_Zn_1	18.27	20.957	18.59	89.889	90.069	89.959	7117.8003	320
382	VACFOV01_clean_min_charges	H_8_C_16_O_8_In_1	12.5130005	14.768	14.758	120.039	90.035	90.047	2360.859	75
383	VACFUB01_clean_min_charges	H_8_C_12_N_2_O_4_Zn_1	12.489	15.682	15.687	120.01	90.011	89.908	2660.4507	114
384	VAGTUU_clean_min_charges	H_18_C_36_O_13_Zn_4	17.224	17.234	17.292	90.548	90.0	90.0	5132.695	212
385	VAHSIH_clean_min_charges	O_16_F_1_Al_4_P_4	20.649	13.709	14.912	89.983	90.0	90.33	4221.1763	200
386	VAPFOJ_clean_min_charges	H_6_C_14_N_4_O_4_Ba_1_Pt_1	15.391	14.667	15.813	90.02	90.05	92.045	3567.3481	192
387	VAPFUP_clean_min_charges	H_6_C_14_N_4_O_4_Sr_1_Pt_1	14.476	19.66	13.081	100.694	84.707	98.718	3608.0173	192
388	VARRIP_clean_min_charges	H_48_C_48_O_60_Y_3_La_4	18.087	18.087	17.825	90.0	89.999	119.981	5050.9883	230
389	VASKOR_clean_min_charges	H_5_C_8_O_5_Sc_1	14.788	18.115	19.486	90.005	89.99	90.07	5219.9956	224
390	VAZTOG_clean_min_charges	H_12_C_24_O_13_Zn_4	18.423	18.43	18.43	60.187	60.175	60.177	4442.828	82
