ID	Material	CF	a/A	b/A	c/A	alpha	beta	gamma	Vol/A3	nAT!H	
46	COYTEQ_clean_min_charges	H_5_C_14_N_2_O_8_La_1	12.19	14.117	12.328	90.116	89.961	111.439	1974.6837	100
47	CUHPUR_clean_min_charges	H_96_C_143_N_16_O_31_Cd_8	23.722	13.826	21.392	89.955	89.997	90.003	7016.1543	198
48	CUMDIY_clean_min_charges	H_13_C_6_N_2_O_6_P_2_La_1	11.706	20.742	23.396	86.75	87.624	83.614	5632.8203	272
49	CUNFOH01_clean_min_charges	H_6_C_4_N_3_Cu_2_I_1	15.583	15.627	15.672	68.747	74.069	111.034	2938.9004	80
50	CUNWEO_clean_min_charges	H_14_C_28_N_4_O_8_Cd_1	17.315	19.3	22.368	90.0	90.002	94.969	7446.8345	328
51	CUTKOS_clean_min_charges	H_40_C_60_N_4_O_12_Zn_3	21.511	12.442	26.091	91.126	89.998	89.989	6981.643	316
52	CUYHIO_clean_min_charges	H_18_C_22_N_2_O_4_Zn_1	13.0	18.343	18.751	90.178	96.467	90.123	4442.8574	232
53	DAGDIZ_clean_min_charges	H_6_C_6_O_4_Cd_1	24.165	15.381	17.043	89.908	90.006	91.729	6331.6816	264
54	DAJHUS_clean_min_charges	H_11_C_18_N_1_O_4_Co_1	11.628	13.002	13.003	95.91	106.121	106.096	1779.731	96
55	DEGJIK_clean_min_charges	H_4_C_6_N_5_Cu_1	11.446	21.128	16.265	89.97	90.031	92.445	3929.801	192
56	DEYDOA_clean_min_charges	H_128_C_71_N_46_Ni_8_Cd_7	13.968	15.512	19.523	90.0	102.061	90.0	4136.7046	132
57	DEYLUQ_clean_min_charges	H_12_C_23_N_6_O_4_Br_4_Cd_1	13.444	14.201	19.045	90.774	108.294	93.384	3444.2778	152
58	DEYVUA_clean_min_charges	H_7_C_13_N_1_O_4_Zn_1	13.569	13.571	23.187	90.029	89.966	90.014	4269.766	152
59	DIDDOK_clean_min_charges	H_13_C_20_N_1_O_5_Zn_1	16.243	16.245	23.175	73.291	73.07	67.44	5294.4175	108
60	DOGZIJ_clean_min_charges	H_15_C_17_N_2_O_4_Zn_1	16.985	20.631	14.176	67.192	75.133	76.554	4376.172	192
61	DOQGUM_clean_min_charges	H_3_C_3_O_8_P_1_La_1	14.721	20.476	13.142	89.99	89.928	99.094	3911.56	208
62	DOTWAL_clean_min_charges	H_24_C_24_O_29_La_3	19.052	19.052	17.489	90.0	90.0	119.993	5498.034	224
63	DUBWON_clean_min_charges	H_4_C_9_O_7_Zn_2	18.28	14.29	15.324	89.443	90.195	107.341	3820.8296	144
64	DUXZIG01_clean_min_charges	C_4_N_4_Ni_1_Zn_1	14.95	14.892	13.081	90.0	90.0	90.0	2912.294	80
65	EBEMEF_clean_min_charges	C_4_N_4_Ni_1_Zn_1	14.915	14.983	13.05	88.595	89.968	88.302	2914.1453	80
66	EBEMII_clean_min_charges	H_12_C_18_N_4_O_4_Cd_1	23.472	14.35	14.229	103.267	114.325	89.878	4227.497	216
67	ECAHAT_clean_min_charges	H_36_C_45_N_3_O_6_Zn_1	15.556	21.857	21.842	119.901	89.952	90.044	6437.892	220
68	ECIWUJ_clean_min_charges	H_8_C_13_N_1_O_4_Zn_1	15.945	19.362	21.91	64.228	88.743	76.382	5895.084	304
69	ECODEG_clean_min_charges	H_8_C_12_N_2_O_4_Cd_1	13.07	15.248	19.142	89.984	89.996	89.964	3814.8342	152
70	EDADIX_clean_min_charges	H_8_C_13_N_1_O_4_Zn_1	22.113	22.118	14.068	88.045	90.645	80.131	6773.808	304
71	EDUSIF_clean_min_charges	H_12_C_24_O_13_Zn_4	18.407	18.416	18.411	60.328	60.251	60.283	4441.761	82
