MOF	molecule	K	1	2	3	4	5	6	7	8	9	10	predict
ABUWOJ	1-butene	0.0233878	-2.4818265278488294	-2.296672730095779	-2.322344767464065	-2.291352312725387	-2.4915414828538682	-2.5076187415009867	-2.686328132580657	-2.6687262791750115	-2.4965684391694305	-2.28189741365996	0.003527867920799268
ABUWOJ	1-methyl-3-buten-1-ol	1.12145	-1.1593099343041229	-1.1912894263044815	-1.1295175463557736	-1.2773504738988133	-0.8370827117531773	-1.0629288397290142	-1.3363836296403868	-1.224255426911315	-1.241792057539996	-1.0706040445776024	0.07029890994457383
ABUWOJ	1,3,5-heptatriene	22.8858	1.2740844894226622	1.4418931480873345	1.0390353909352905	1.3867309539872943	1.1347010139417995	1.2704597382848086	1.2517620840518262	1.409256208588611	1.393961131889792	1.3455334032545265	19.712502265284076
ABUWOJ	2-hexene	3.27358	-0.2975356444541941	-0.5360354994499361	-0.2896896017795731	-0.45512071447578145	-0.3487922239506458	-0.49212284969695497	-0.10730317056103948	-0.43079722416464966	-0.1868228749076084	-0.17739967255753775	0.46541250970628817
ABUWOJ	2-methylpentane	0.468042	-0.7791426058451965	-1.0318509959505997	-0.7604592770777432	-0.7445878592152793	-0.7193769219624009	-0.9356774887638163	-0.6159259248250031	-0.7248399313610511	-0.7330014782335754	-0.7191990225379302	0.16733772079227685
ABUWOJ	2,2-dimethylbutane	0.00453183	-1.6113033787351356	-1.8542008840997888	-1.803104432981275	-1.665278807477782	-1.879248738758993	-1.9953775887049787	-1.1103146127943033	-1.8637322036514812	-1.8222297475875264	-1.8444492658689264	0.01799185879310316
ABUWOJ	4-methyl-4-pentenal	4.34414	0.6575646209488215	0.7999068823800234	0.7945665982454414	1.0120942802132098	0.8356893748042677	0.7550893129351162	0.9369463771487214	0.7907722109965275	0.827287559249992	0.9610203398213075	6.87216780647686
ABUWOJ	5-hexen-2-one	26.447	1.1037438440207106	1.285504440342699	1.2503900493619695	1.4036837565802809	1.1835550005758835	1.3324381134103749	1.4016928228345122	1.4558112432422847	1.1694064430116646	1.260044662586891	19.25870308407584
ABUWOJ	dimethylethylamine	0.125476	-1.1335707764262775	-0.9751213742552486	-1.1472045300781506	-0.9940442407134142	-0.994010036255763	-0.8038673841983641	-1.0896407070392642	-0.8733222551354685	-1.2484529785087637	-1.1810597071280593	0.09035883044714534
ABUWOJ	isobutene	0.0157707	-2.0556056631554385	-2.162695086989615	-2.191121521288504	-2.2290156151861034	-2.0477656404572246	-2.0768103404801828	-2.12115719254195	-2.254532523640773	-2.1885830493082707	-2.077097366943947	0.007237050447768304
ABUWOJ	methyldiethylamine	0.381253	-2.283922786923621	-2.0184334342923482	-2.1289039353876307	-2.072032361207969	-2.085767621210876	-2.0757234242178795	-2.3340754039295173	-2.060665145702157	-2.3294449111317475	-2.257990038928437	0.00684390691029845
ABUWOJ	propionaldehyde	0.021340400000000002	-2.05973633486955	-2.0633868896342187	-2.064285311242667	-1.8222233275334325	-2.0830294809186065	-2.0846560870419815	-2.0261297936357434	-1.962396553967008	-1.8212745787103557	-1.892410264014995	0.010281278839350433
ABUWOJ	3-methyl-1-butanol	0.38021	-1.8897025040625715	-2.284367725739343	-1.8083719475575504	-2.133557650054939	-1.6628711565457002	-1.50383721243535	-1.766172811458361	-1.8863299057359266	-1.831086572613299	-2.163606049292892	0.012794097218001163
ABUWOJ	1,5-hexadiene	1.8379900000000002	0.7404386872199292	0.654139373538088	0.310278988213662	1.1992328040729057	0.6978770400024032	0.7181765440549074	0.8035347872725601	0.347814975702672	0.9189517984569786	1.0320131645024337	5.523900107157273
ABUWOJ	propylamine	0.0658403	-1.9850608523533146	-1.9580278503720059	-2.23432903228985	-1.9305422804527983	-1.864353733051506	-1.845156155895463	-2.1628214962694594	-1.797469401341565	-1.940985045635536	-1.990944394029571	0.01069131131732216
ACOLIP	1-butene	0.00172405	-3.845634575241439	-3.654098834993149	-3.4440583102878994	-3.7185220819160762	-4.214619919670328	-4.039977907924142	-4.246176317583066	-3.9700634584695873	-4.127384152266969	-4.306607282472205	0.00011048052158817108
ACOLIP	1-methyl-3-buten-1-ol	2.00693	-1.4934683819448724	-1.7732028302879266	-1.4674863491877794	-1.4952120635564865	-1.6885220587066279	-1.7085486216165013	-1.6914155377591018	-1.685811674076017	-1.20904616321787	-1.4829923191050942	0.0269419732161299
ACOLIP	1,3,5-heptatriene	0.0037729	-2.7458523272379725	-3.6982692784577615	-2.9855435110441424	-3.359841850750032	-3.430214737382609	-2.5231732875774093	-2.987664371516754	-2.947323225389269	-2.749945792943643	-3.17975828194877	0.0008694434370458137
ACOLIP	2-hexene	0.00258687	-2.4021873909767173	-2.438298699683845	-2.233160752943301	-2.205441181189831	-2.2951905949147937	-2.14435669682181	-2.843072169733102	-3.0851992060224718	-2.418702717617696	-2.456753369117991	0.0035299107275708445
ACOLIP	2-methylpentane	0.000438836	-4.346336154056235	-3.6207391896646435	-3.8736314264048928	-3.847484801408869	-3.8546651850851816	-3.8805881715425494	-3.896454988945208	-3.866937550549227	-3.878881162369935	-3.8486048719489196	0.00012840077640488196
ACOLIP	2,2-dimethylbutane	8.579999999999999e-11	-5.901898340549846	-5.675937267979057	-5.181591935655166	-4.871869664497801	-5.6267938428985795	-5.123355105032881	-5.8966902656903235	-5.304585253621298	-5.8139803118212505	-4.829014533893785	3.7794477686130086e-06
