MOF	molecule	H	predict
CUYHIO	hydrogen cyanide	1.799716251	1.7280337992558141
CUNWEO	propionitrile	71.59733803	71.49027238388669
XAWVUN	4-hexen-2-one	46.46853282	46.398286330745776
KEXKEF	ethylamine	9.61611867	9.58483215480828
APEBED	4-methyl-4-penten-2-one	80.45723517	80.57479545172016
ECAHAT	methyl propyl ketone	44.27290304	44.251703042280845
UBACOR	ethane	34.83990944	34.92629324847567
XINJAH	3-methylpentane	70.30844272	70.26117427635268
FUNCAT	isopentane	52.36829678	51.651294971607655
XINFUW	2,3-dimethylbutane	51.44512833	51.613097174467825
SENWIT	propane	21.534502399999997	21.448291564911074
NISCOJ	methane	23.45901416	23.287866502545896
YEZFIU	3-methylpentane	45.22956889	45.24098817881217
BALMUW01	ethane	28.21132012	28.119999195192513
SUKYIH	4-methyl-1-hexene	51.83775318	51.90116306903338
ABUWOJ	neopentane	51.04910972	51.40514861071425
COYTEQ	methyl tert-butyl ether	75.82274988	75.85014377935669
NUTQAV	ethane	22.63504737	22.73044215658441
XEXMEU	2-pentene	39.84504641	39.97466531422972
KAYBIX	methyl propyl ether	58.34037528	58.23488761306042
NUYWOU	4-methyl-1-hexene	61.93766805	61.89819701381491
XEXMEU	methyl isopropyl ether	44.4704863	44.363094562004285
FIPWUY	hydrogen cyanide	38.26435409	38.20608007857913
KAYBUJ	4-hexen-2-one	71.63721261	71.7435126556574
CUNWEO	4-hexen-2-one	78.52180705	78.3507283283388
YAZFOW	neopentane	51.00185422	50.98085454667018
IXOFAD	hydrogen cyanide	22.41690413	22.398914830718805
VASKOR	4-methyl-4-penten-2-one	63.20097281	63.02412914426758
XINJAH	propane	40.96057486	40.54534437117167
QUVDUH	ethylamine	69.51708927	69.75507664240007
HEGJUZ	2,3-dimethylbutane	65.36789531	65.14752491140864
MATTUX	isopropyl alcohol	46.02217366	46.00493702887941
WALBOC01	4-hexen-2-one	61.34647467	61.274547356106694
BIBBUL	methyl propyl ketone	14.43417396	14.382710633984306
