MOF	molecule	H	predict
UVEXAV	4-hexen-2-one	121.08166709999999	121.16186945291852
QUQFIS	methyl tert-butyl ether	46.09440488	46.16112999058449
LAWGEW	acetonitrile	25.69943806	25.395954554005133
SERKEG	propionitrile	30.27456204	30.45788750485779
FIQCEN	2-pentene	56.4029976	56.36552813506811
XEHTUB	dimethyl ether	48.83693336	48.81854743451499
EXEWAG	dimethyl ether	35.88936224	35.74467295986141
DIDDOK	neopentane	29.99395263	29.859977171465168
SUHHOT	methane	18.43910221	18.495745762958155
FAGREM	methyl propyl ketone	56.56921652	56.62881805420579
RELLAW	methane	16.74904281	16.70184683518429
JIVFUQ	isopentane	49.57311179	49.70466402522506
GAXWEJ	4-methyl-1-hexene	51.55618811	51.67552949285161
ZIDDIB	2-pentene	94.05412675	94.0011244651151
SEYDUW	dimethyl ether	34.65729866	34.847837033148856
IBICON	isopropyl alcohol	53.61472299	53.381115639447074
HAZNON	dimethylamine	54.94238348	54.93494922804172
XOKHAH	hydrogen cyanide	51.33341339	51.281212191126365
NISCOJ	2,3-dimethylbutane	50.55166513	50.83818093153182
BONWAD	isopropyl alcohol	-16.57563132	-16.70624066077161
BOJCIN	ethane	27.79429689	27.82034944246312
PAKXIK	dimethylamine	49.31199219	49.546581161642386
QIFLUO	methyl propyl ketone	72.56101575	72.63155346308811
GALCED	acetaldehyde	39.92053308	40.12826965542069
CUNFOH01	2-pentene	30.06383126	30.140281436904782
FERHAN	propane	50.66479786	50.45603997787866
XOVVIO	isopropyl alcohol	44.22490398	44.397450323129114
XEXLOD	methyl propyl ketone	51.840839200000005	51.41854826576526
XINFUW	ethane	23.29386595	23.171321628419943
OTAVOV	isopropyl alcohol	50.12086053	50.09378234451323
UVARIT	4-methyl-4-penten-2-one	78.51886164	78.51639877540536
CUTKOS	acetaldehyde	44.97660995	44.87897527604164
FAKLOU	ethane	21.13285813	21.117114672738687
MIBQAR	acetaldehyde	24.5020097	24.54796761398502
LELMIA01	acetonitrile	63.1502809	63.238758561698745
FERHAN	acetonitrile	49.15148785	48.97410044291154
RACZIG	propene	38.83984969	38.6512643912298
IXOFAD	isopropyl alcohol	46.238021999999994	46.30348640972249
UXEQOE	isopentane	66.37314887	66.2430528751261
GOMRAC	isobutane	82.01168198	82.11639309140017
ISEQIH	dimethyl ether	74.89081052	74.79960493158232
YARKEJ	methyl tert-butyl ether	59.49298639	59.49263442351635
NASCIV	1,5-heptadiene	19.58517695	19.617195866304748
GAYFOD	4-methyl-1-hexene	73.14021311	73.16891756595653
ZERNAN	2,3-dimethylbutane	48.07255011	48.1174235595744
XUGSEY	acetone	62.601172399999996	62.53536007149912
ZIDDIB	propionitrile	77.94713289	78.06866760399355
QUQPIC	4,4-dimethyl-1-pentene	15.18518362	15.310731507274026
MADVUJ	4-methyl-4-penten-2-one	75.87073312	75.83349967073845
PASTOU	neopentane	62.03570814	61.870358888598034
PIJJOI	propionitrile	50.48085654	50.70556214622448
SERJUV	ethene	25.32653296	25.308543280908076
UBUMAH	dimethylamine	40.56801306	40.785324672252166
RIVDEF	methyl tert-butyl ether	36.69351366	36.8116779140716
PEVQEO	neopentane	24.83707587	24.749391305373326
YARYEV	acetaldehyde	38.25992573	38.166150034754786
KEWZOD	ethylamine	46.00683677	46.02629310250019
NUTQAV	isobutane	35.57193003	35.61869707348969
LAGWEX	4,4-dimethyl-1-pentene	61.72951189	61.7317741648112
XOVVIO	methyl propyl ketone	40.70079953	40.683557641042775
XUNGOD	acetonitrile	42.10531036	41.93833435367614
WONZUV	propane	26.31196964	26.26644001802588
FAPTIB	acetone	47.09437251	47.05844044189894
FAPTOH	methyl tert-butyl ether	56.10778234	56.25862526716647
ISEQIH	4,4-dimethyl-1-pentene	79.31970501	79.32557579691317
NARTUX	methyl propyl ether	59.24410110000001	59.088694382415774
MIDRAT	isopropyl alcohol	29.82463728	29.815638569355286
FEZREJ	acetonitrile	72.69156188	72.75840810460274
TETZID	4,4-dimethyl-1-pentene	69.42300329	69.34531930282128
REGLOG	propionitrile	50.68528258	50.58696333369561
SAMLAV02	4-methyl-4-penten-2-one	96.43193155	96.41867259205388
KINKAV	4-hexen-2-one	97.85075736	97.7543469339581
XEHFUL	methane	7.024695121000001	7.02276983446351
KAXQOR01	methyl propyl ketone	92.32170145	92.31071135537606
QATHOK	ethylamine	54.54376276	54.582332061890355
UVUPOR	4-hexen-2-one	67.58904356	67.05216710786422
EDUSIF	methyl tert-butyl ether	27.03117518	26.955421758063437
YARYOF	acetone	35.78328941	35.922603479407826
VARRIP	ethylamine	69.38567996	69.4385910269168
HIHGOW	methane	19.29176068	19.326888263272867
OHAKIS	isobutane	58.94607087	58.54786114705792
