MOF	molecule	H	predict
HUHJAW	acetaldehyde	47.99704022	47.938805463847864
IYUJAO	methane	23.18112051	23.277711674730313
RAXDAX	acetone	-7.679099517	-7.515216845695861
GALCED	isobutane	41.246438899999994	41.39744011471467
ZERNAN	isopentane	48.19341141	48.35208962050457
AVEMOE	ethane	-11.42325275	-11.423641036537434
AMIKOX	ethane	-0.627464416	-0.5568212205512035
BERGAI	ethylamine	54.05542997	54.153806851535535
NEVJEF	4-methyl-1-hexene	70.54984605	70.68727587515944
RIVDEF	acetonitrile	29.98716015	29.886106442614324
SAHYOQ03	methyl isopropyl ether	26.44461874	26.54120127771484
HEZKIH	dimethylamine	57.89370737	57.781767651145245
XUVHEB	isobutane	50.40793621	50.6555462470504
RURPEA	methyl propyl ketone	54.85007221	54.84630683089825
PEVPUD	4,4-dimethyl-1-pentene	29.21682076	29.111781664780622
MADWAQ	dimethylamine	51.54216961	51.50646847189018
QEVKOS	3-methylpentane	75.22183028	75.14035894046408
WALBOC01	methyl propyl ether	59.54432355	59.322553916848754
REYCOP	1,5-heptadiene	10.12184411	10.128873140780012
EBEMEF	ethane	20.53230679	20.61618043268126
FIPWUY	hydrogen cyanide	38.26435409	38.301737363251235
TADCAE	4-hexen-2-one	50.11142434	50.5913027165277
KINKAV	3-methylpentane	70.42682371	70.22106124482735
RAXDAX	acetonitrile	46.4007443	46.28573458102406
QOMDUS	methyl propyl ketone	65.16220891	65.12953400174779
XINHOT	hydrogen cyanide	26.551290500000004	26.76230590168161
IBICAZ	neopentane	33.81771587	33.712243345777985
XUGSEY	dimethyl ether	63.85387248	63.79245686120407
FIPWUY	dimethyl ether	55.99821092	55.92308503425343
RELLAW	methane	16.74904281	16.721917338862518
SERJUV	methyl propyl ether	42.61471852	42.62836922943024
PUQXUV	4-hexen-2-one	76.66764371	76.7906438840601
TEVZIE	propane	42.61867293	42.39795844026651
QUNMUI	ethane	24.52702367	24.594621447772752
WIYFAM	1,5-heptadiene	48.49085186	48.54770472470897
ISEQIH	1,5-heptadiene	83.52603909999999	83.57973565079241
ICANEH	3-methylpentane	75.4233784	75.40476564855128
FIGXAW	hydrogen cyanide	39.72842677	39.92461758960118
RIPNIP	acetonitrile	39.05985429	39.021406604180406
LEGGEK	ethylamine	90.19586149999999	90.15385197989724
KEWZOD	isopropyl alcohol	54.016216899999996	54.317841859815445
ICANEH	isopentane	64.07530663	64.2573156876086
GAYFOD	propene	34.78034374	34.80434387432615
RURQEB	isobutane	32.31098592	32.478210902088556
UXEQOE	methyl propyl ketone	110.2215545	110.27784904740629
ULOGIL	isopropyl alcohol	20.75462856	20.691151009395572
WENDIE	2,3-dimethylbutane	27.88183117	28.37941034601775
XINHOT	ethylamine	44.73244758	44.805551355576874
MUVGOA	neopentane	58.27932007	58.073355921600516
QOJVAM	isobutane	46.33683509	46.32692018474068
MOGVAG	dimethylamine	68.68644468	68.67211683174152
OJICUG	ethene	16.49439833	16.401443212228525
ZISYAD	methyl isopropyl ether	63.11691257	63.080657174995224
KAXQIL	methyl propyl ether	81.81744289	81.77846183357211
YARYEV	hydrogen cyanide	28.89240101	28.86005480884557
OTAVOV	isopentane	44.00832554	44.25634884986078
JIVFUQ	dimethylamine	42.64038264	42.72964038868315
UNIGEE	2-pentene	27.15267413	27.103527111765334
DEYLUQ	methyl tert-butyl ether	62.27646303	62.33335851428202
RUMWUS	4-hexen-2-one	105.88651829999999	105.85471239894787
GUYLUI	dimethylamine	51.96004463	52.14883049455587
MOGVAG	acetone	69.61007911	69.54388802536435
QEVKOS	propane	45.5257153	45.720954308672255
OSAXAI	hydrogen cyanide	37.84547569	37.772812502762235
UVUPOR	ethylamine	40.23317437	40.30249709281535
XUNGUJ	acetaldehyde	43.12476759	43.17494186341504
TADCAE	methane	26.26344759	26.283176995807953
IBIDAA	4-methyl-1-hexene	47.46169456	47.39906769918155
RUCGOM	ethylamine	67.58417514	67.46399046144904
LASYOU	acetonitrile	28.73308169	28.985389107570995
PIFPIE	dimethylamine	41.14536892	41.33842858277269
QARTEK	ethene	30.19720571	30.180694539751865
KOMHAW	4-methyl-1-hexene	8.752347978	8.783575538221227
JAVNIE	1,5-heptadiene	60.68434984	60.636971053407
VACFUB01	4-hexen-2-one	55.55500145	55.67008862288983
SENWAL	methyl propyl ether	26.88961104	26.80132861227623
DEYDOA	isopropyl alcohol	53.08754421	53.05075966532088
EKOPOK	isopropyl alcohol	100.5391104	100.40196819984968
BAEDTA01	ethene	34.418698299999996	34.4338780247737
EBEMII	isopentane	58.64556349	58.76067922896959
MIMVEJ	propionitrile	57.1446228	57.119647372177745
MIBQAR16	propane	19.53988275	19.631969890127714
FUNBIA	acetaldehyde	48.29469577	48.18183366366147
APEBED	methyl isopropyl ether	72.26296795	72.12435091752407
ERUFUS	isopropyl alcohol	52.24465572	52.3160480300358
YAZFOW	methyl propyl ketone	77.76905618	77.67662725107938
WONZUV	isobutane	31.31565481	31.504725125177444
IQUNAJ01	propyl alcohol	4.933361274	4.845375309880476
CUMDIY	4-methyl-1-hexene	90.85060915	90.88963406442001
XUNGUJ	methyl isopropyl ether	62.81095171	62.78518922887712
VONBIK	isobutane	50.76517138	50.71737822431576
QUVDUH	dimethyl ether	73.73009576	73.60909435671776
TASXIW	methyl tert-butyl ether	52.46586955	52.662770067303036
TESGOO	4-hexen-2-one	62.42896528	62.45474983179906
FIRVEH	dimethyl ether	45.31981499	45.28692058071628
HEGJUZ	dimethyl ether	41.55824219	41.68250271917907
IXUREZ	4-hexen-2-one	95.26453142	94.9630754025378
KAVROQ	acetone	54.64937631	54.57559898867698
FIPXEJ	isopentane	60.37511717	60.03455405874724
LOQLEJ	methane	21.43496988	21.416272107318626
DEYVUA	methyl tert-butyl ether	61.84871046	61.742470420952785
JIVFUQ	isobutane	40.98255716	40.84396501725749
VAPFUP	ethene	33.2698431	33.31791675902252
NIRDOI	hydrogen cyanide	32.63683598	32.82014330371982
