MOF	molecule	H	predict
QOMFAA	acetone	61.31194447	61.30175538426431
IGOCOX	4-methyl-1-hexene	60.45118101	60.45719944880455
GAXWEJ	propene	46.34304762	46.32990231487342
MIBQAR	isopentane	27.19119699	27.26915073853157
GAXWEJ	isobutane	40.80898195	40.95680482092348
LIFWOO	4-methyl-4-penten-2-one	86.95508055	86.95103994499098
BOJCIN	methyl propyl ketone	61.53806411	61.5026277992979
OTAVOV	isobutane	37.13911593	37.29288387446525
MADWAQ	propene	44.12639475	44.20529672701995
LAWGUM	isobutane	23.09384307	23.065000160494712
SENWAL	neopentane	26.46305568	26.366897338365785
PUQYAC	dimethyl ether	50.30813125	50.459621025736624
FECZAQ	neopentane	41.02734812	40.927990600550984
UWELIS	propane	37.54154384	37.52381499132577
VACFUB01	ethane	23.22406439	23.32047322981564
ESEVIH	hydrogen cyanide	32.44424061	32.36331934340835
PAMVEG	2,3-dimethylbutane	35.85032682	35.83938124621777
QUNMUI	propyl alcohol	34.5422299	34.55022968508303
QUQPOI	acetonitrile	66.60923735	66.69002961384145
RAZYIC	dimethylamine	36.29803688	36.31054514113309
LAGCED	isobutane	44.01067753	43.779356586820974
KAVROQ	isopentane	62.26009747	62.56753655052577
KEXKEF	isopropyl alcohol	-29.39145084	-29.447808102746215
LAWGUM	isopropyl alcohol	26.6952451	26.693828942102268
KAYBIX	acetonitrile	35.05333196	35.21039242082606
LIFWEE	neopentane	42.38036359	41.86976235598462
UBACOR	methyl isopropyl ether	66.69366289	66.38003665202943
WIYFAM	hydrogen cyanide	27.70982585	27.68544587488716
VASKOR	dimethyl ether	35.07968691	35.1704895476612
FUSWIA	4-methyl-4-penten-2-one	68.17071016	68.09954225245527
RAXDAX	acetaldehyde	37.9612642	38.04756144201654
LIFWOO	4,4-dimethyl-1-pentene	49.90660233	49.97380289301306
XENKIM	isobutane	37.07217785	37.29129243051372
FUNCAT	acetaldehyde	39.82735155	39.88853738172133
OHOLIH	3-methylpentane	76.28595033	76.36619644616104
CUNFOH01	hydrogen cyanide	18.00335411	18.04547299620503
PEVQEO	2-pentene	27.177156800000002	27.35383748451427
CISMAT01	2,3-dimethylbutane	55.68625964	55.62282733451095
