MOF	molecule	H	predict
KANDIO	2-pentene	54.85404753	54.8247450326893
XINHOT	2-pentene	58.39103536	58.02393092017828
FUNBEW	neopentane	27.15876213	27.468991709700763
XIBZUF	methyl isopropyl ether	72.39894679	72.19424359603394
MOYYEF	isopentane	53.38598233	53.1538412162663
XINFUW	hydrogen cyanide	27.07651685	27.153800339630195
MIHHOA	propionitrile	63.270518200000005	63.33794196901432
GOMRAC	ethylamine	71.79540422	71.78728810887219
IBICED	3-methylpentane	43.27055636	43.080335467660284
UXEQOE	4-methyl-4-penten-2-one	116.04904479999999	116.03472328492687
NARTUX	4-hexen-2-one	102.3424932	102.11873619780664
IJENER	acetone	66.52776928	66.38516328799268
XEQRAO	ethene	25.28983982	25.383267431832838
RIVDEF	propyl alcohol	41.753997	41.76278264977283
KEFBEE	ethane	22.29210839	22.416003703613086
HAFQUC	neopentane	50.603319299999995	50.636588857560135
EMITUQ	3-methylpentane	58.84386375	58.72802743668372
SAMLAV03	acetonitrile	63.67028974	63.60034153339647
ZIKJIO	4-methyl-1-hexene	54.7737562	54.80469546725767
TENLIJ	4-methyl-1-hexene	81.5567176	81.54717295061234
FIQCEN	isopentane	56.18132952	56.10356058221327
EZABEN	acetone	65.16860260000001	65.22103901377682
YEKXET	acetone	42.86785741	42.8143083741309
UWELIS	4-methyl-4-penten-2-one	76.11398467	76.04077078604232
PUWCUF	methyl propyl ether	54.3024677	54.317389191732154
PASKAX	propyl alcohol	82.87027041	82.77394513189577
NIRDOI	acetone	16.38675948	16.441225758698724
SAHYOQ03	2,3-dimethylbutane	30.74326226	30.67918217290333
UKUBIM	isobutane	51.35735942	51.447030364128196
QOMFAA	2,3-dimethylbutane	65.96982928	66.06834837058614
XADGAM	acetone	63.01322071	63.128795475376606
SAMLAV03	2-pentene	58.90372163	58.74048115129645
MIDRAT	propene	33.13948147	33.36701060801094
MODNIC	2,3-dimethylbutane	42.97694814	42.90773848205531
VONBIK	dimethyl ether	46.62519634	46.60557374135884
LEGGEK	dimethyl ether	100.66555240000001	100.51798340689724
VAGTUU	ethene	30.98056031	31.07654286033537
QUJFUX	isopropyl alcohol	58.36145007	58.28239025831787
IXUREZ	propionitrile	77.11151951	77.29198781584371
UVAROZ	methyl propyl ether	67.40618054	67.54363413786282
BALMUW	methane	16.61907634	16.594334794093758
AROFET	2,3-dimethylbutane	60.35570841	59.919500623495004
SENWIT	acetone	49.74077685	49.952618099808106
LASYOU	propene	29.502885600000003	29.533406029865308
RUFMUA01	ethylamine	55.29042099	55.39001348850936
YEGYIU	dimethylamine	7.03309979	7.057903431743921
IXUREZ	4-methyl-4-penten-2-one	97.04006795	97.0831909273692
LEMNOH	isopropyl alcohol	-14.88687392	-14.902203562531495
NUVWIL	4,4-dimethyl-1-pentene	45.05507214	44.87905994876735
