MOF	molecule	H	predict
XUNGUJ	4-hexen-2-one	86.62336939	86.60761139634184
PIHNUQ	dimethylamine	56.82019694	56.67651434890395
FIJCUX	ethane	24.29388615	24.614941707214797
MADWAQ	propene	44.12639475	43.767913024032275
YEZFIU	acetaldehyde	42.19689216	42.15155636334768
ILOJEZ	2-pentene	67.25868935	67.60405828937911
LAWGUM	4-methyl-4-penten-2-one	36.39992983	36.42446269587319
ZEDROR	2,3-dimethylbutane	36.0321868	36.19247558504601
BOWQAG	dimethylamine	32.36510319	32.481210976271726
NEVJEF	4-methyl-4-penten-2-one	74.81276459	74.87955393167152
NUTQAV	2-pentene	39.98151806	40.120683757772085
TASXIW	dimethyl ether	43.321441899999996	43.20391481127717
GUYLUI	ethene	33.5461723	33.65519830038083
PAPXUB	propene	47.76607624	47.75538010553606
RAXCOK	methyl propyl ketone	61.63035308	61.369328352541594
ISEQIH	4-hexen-2-one	127.2678504	127.29433593895331
HOWPOZ	propionitrile	59.83580955	59.70400019363046
XINWUO	4-methyl-1-hexene	56.73246173	56.67301117758403
FEWGUL	acetone	67.85831426	67.72464817108855
GINLIA	ethane	27.2073249	27.436332367681135
ECODEG	acetone	59.05002186	59.174260965296355
FUNCAT	isopropyl alcohol	48.78388777	48.77822711743872
FAGREM	isobutane	39.72357268	39.961704207814456
MAKXAZ	ethylamine	50.81765827	51.047659163639175
WEMNAF	4,4-dimethyl-1-pentene	61.7269397	61.803424729238486
BIBBUL	ethene	24.17640724	24.143890739838692
XUVHEB	propionitrile	44.44078528	44.67606261449165
XEDPIH	acetonitrile	46.56507721	46.633758988068095
PAKXIK	dimethyl ether	44.73991531	44.893040575839926
PEMRIK	propane	43.56871149	43.24837551701857
IXOFIL	3-methylpentane	53.82833785	53.884254860697624
UTEWOG	methyl isopropyl ether	51.48406748	51.52341510881702
TASXIW	isopropyl alcohol	54.59747106	54.40439177356225
SEYDUW	isopentane	4.84679568	4.929517548772519
XAWVUN	hydrogen cyanide	22.21735603	22.23733443295551
PEGBUA	2-pentene	42.17367678	42.65089036196376
